user@ubuntu-seokwon:~/git/seokwon-y/python/m13$ python m13p03.py 
!!! 403 => http://192.168.0.11/.htaccess
!!! 403 => http://192.168.0.11/.htaccess.php
!!! 403 => http://192.168.0.11/.htaccess.bak
!!! 403 => http://192.168.0.11/.htaccess.orig
!!! 403 => http://192.168.0.11/.htaccess.inc
[200] => http://192.168.0.11/language/
[200] => http://192.168.0.11/index.php
[200] => http://192.168.0.11/cache/
[200] => http://192.168.0.11/README.txt
[200] => http://192.168.0.11/modules/
[200] => http://192.168.0.11/includes/
[200] => http://192.168.0.11/plugins/
[200] => http://192.168.0.11/images/
[200] => http://192.168.0.11/bin/
[200] => http://192.168.0.11/tmp/
[200] => http://192.168.0.11/index.php
[200] => http://192.168.0.11/layouts/
[200] => http://192.168.0.11/media/
[200] => http://192.168.0.11/templates/
[200] => http://192.168.0.11/libraries/
[200] => http://192.168.0.11/components/
[200] => http://192.168.0.11/installation/
!!! 403 => http://192.168.0.11/.htpasswd
!!! 403 => http://192.168.0.11/.htpasswd.php
!!! 403 => http://192.168.0.11/.htpasswd.bak
!!! 403 => http://192.168.0.11/.htpasswd.orig
!!! 403 => http://192.168.0.11/.htpasswd.inc
[200] => http://192.168.0.11/administrator/
!!! 403 => http://192.168.0.11/.htaccess.svn-base
!!! 403 => http://192.168.0.11/.htaccess.svn-base.php
!!! 403 => http://192.168.0.11/.htaccess.svn-base.bak
!!! 403 => http://192.168.0.11/.htaccess.svn-base.orig
!!! 403 => http://192.168.0.11/.htaccess.svn-base.inc
!!! 403 => http://192.168.0.11/.htaccess.dist
!!! 403 => http://192.168.0.11/.htaccess.dist.php
!!! 403 => http://192.168.0.11/.htaccess.dist.bak
!!! 403 => http://192.168.0.11/.htaccess.dist.orig
!!! 403 => http://192.168.0.11/.htaccess.dist.inc
[200] => http://192.168.0.11//
!!! 403 => http://192.168.0.11/.php
!!! 403 => http://192.168.0.11/form.phps
!!! 403 => http://192.168.0.11/.httpd.conf
!!! 403 => http://192.168.0.11/.httpd.conf.php
!!! 403 => http://192.168.0.11/.httpd.conf.bak
!!! 403 => http://192.168.0.11/.httpd.conf.orig
!!! 403 => http://192.168.0.11/.httpd.conf.inc
!!! 403 => http://192.168.0.11/.html
!!! 403 => http://192.168.0.11/.html.php
!!! 403 => http://192.168.0.11/.html.bak
!!! 403 => http://192.168.0.11/.html.orig
!!! 403 => http://192.168.0.11/.html.inc
!!! 403 => http://192.168.0.11/onLoadBind.phps
 !!! 403 => http://192.168.0.11/AjaxTest.class.phps!!! 403 => http://192.168.0.11/onLoadBindPeriodicalTimer.phps

!!! 403 => http://192.168.0.11/onLoadBindTimer.phps
!!! 403 => http://192.168.0.11/AjaxCore.class.phps
!!! 403 => http://192.168.0.11/source.phps
!!! 403 => http://192.168.0.11/.htaccess.txt
!!! 403 => http://192.168.0.11/.htaccess.txt.php
!!! 403 => http://192.168.0.11/.htaccess.txt.bak
!!! 403 => http://192.168.0.11/.htaccess.txt.orig
!!! 403 => http://192.168.0.11/.htaccess.txt.inc
!!! 403 => http://192.168.0.11/.htaccess.sample
!!! 403 => http://192.168.0.11/.htaccess.sample.php
!!! 403 => http://192.168.0.11/.htaccess.sample.bak
!!! 403 => http://192.168.0.11/.htaccess.sample.orig
!!! 403 => http://192.168.0.11/.htaccess.sample.inc
!!! 403 => http://192.168.0.11/demo.phps

